ngay_dat_mua,ma_don_hang,khach_hang,tong_gia_tri_hang
6/10/21,CA-2021-154662,Benjamin Farhat,693
8/16/21,CA-2021-154690,Christopher Conant,225
11/23/21,CA-2021-154711,Todd Boyes,73
12/11/21,CA-2021-154739,Logan Haushalter,322
6/29/21,CA-2021-154767,Becky Pak,476
5/1/21,CA-2021-154788,John Lee,8
4/8/21,CA-2021-154998,Erin Smith,38
6/14/21,CA-2021-155005,Sample Company A,378
10/8/21,CA-2021-155033,Cindy Chapman,11
9/9/21,CA-2021-155138,Jill Matthias,100
12/27/21,CA-2021-155166,Brenda Bowman,239
9/25/21,CA-2021-155187,Laura Armstrong,84
12/18/21,CA-2021-155383,Steve Carroll,47
9/15/21,CA-2021-155439,Parhena Norris,26
12/17/21,CA-2021-155446,Tanja Norvell,21
7/9/21,CA-2021-155474,Chris Cortes,127
9/2/21,CA-2021-155481,Dean Katz,71
11/14/21,CA-2021-155488,Frank Merwin,44
10/22/21,CA-2021-155516,Michael Kennedy,1179
12/18/21,CA-2021-155530,Charles McCrossin,2004
4/19/21,CA-2021-155551,Clay Rozendal,240
5/29/21,CA-2021-155565,Edward Hooks,55
8/14/21,CA-2021-155670,Erin Mull,22
6/15/21,CA-2021-155747,Jim Sink,337
8/13/21,CA-2021-155845,Chris McAfee,1400
8/2/21,CA-2021-155978,Thomas Seio,1086
10/2/21,CA-2021-155992,Chris Cortes,112
8/14/21,CA-2021-156251,Theresa Swint,250
8/3/21,CA-2021-156265,Barry Franz�sisch,483
12/30/21,CA-2021-156300,Troy Blackwell,754
10/15/21,CA-2021-156503,Nathan Cano,305
5/30/21,CA-2021-156573,Raymond Buch,60
7/9/21,CA-2021-156685,Scot Coram,911
12/1/21,CA-2021-156748,Bruce Stewart,934
10/28/21,CA-2021-156811,Bart Pistole,69
7/17/21,CA-2021-157000,Alice McCarthy,57
7/17/21,CA-2021-157161,Jonathan Doherty,199
7/20/21,CA-2021-157217,Tracy Collins,426
5/20/21,CA-2021-157245,Laurel Elliston,642
12/25/21,CA-2021-157259,Jessica Myrick,800
5/27/21,CA-2021-157266,Toby Braunhardt,83
11/6/21,CA-2021-157280,Liz Willingham,1121
12/2/21,CA-2021-157336,Shirley Jackson,840
11/20/21,CA-2021-157364,Liz Thompson,18
9/19/21,CA-2021-157511,Seth Vernon,107
7/15/21,CA-2021-157588,Anemone Ratner,88
10/2/21,CA-2021-157686,Brian DeCherney,195
10/11/21,CA-2021-157707,Corey Catlett,228
9/27/21,CA-2021-157714,Charles Sheldon,10
12/30/21,CA-2021-157742,Ken Lonsdale,28
6/5/21,CA-2021-157749,Ken Lonsdale,678
7/19/21,CA-2021-157763,Katharine Harms,141
12/24/21,CA-2021-157791,Carol Adams,2000
12/24/21,CA-2021-157868,Matt Collister,25
8/24/21,CA-2021-158001,Jennifer Patt,1091
1/31/21,CA-2021-158043,Jason Klamczynski,23
9/4/21,CA-2021-158099,Paul Knutson,1422
5/3/21,CA-2021-158155,Edward Hooks,331
1/4/21,CA-2021-158211,Ben Peterman,109
11/5/21,CA-2021-158260,Cindy Chapman,686
12/9/21,CA-2021-158302,Julia Barnett,11
3/5/21,CA-2021-158358,Eleni McCrary,160
5/18/21,CA-2021-158435,Arthur Gainer,253
5/31/21,CA-2021-158547,Justin MacKendrick,124
8/30/21,CA-2021-158568,Rick Bensley,162
11/19/21,CA-2021-158575,Sean Braxton,104
9/20/21,CA-2021-158610,Clytie Kelty,70
9/23/21,CA-2021-158617,Anna Chung,36
11/11/21,CA-2021-158694,Arianne Irving,1467
9/6/21,CA-2021-158778,Dean Braden,1025
1/7/21,CA-2021-158806,Neoma Murray,49
3/14/21,CA-2021-158834,Tamara Willingham,361
2/2/21,CA-2021-158841,Sanjit Engle,8805
8/7/21,CA-2021-158869,Anna H�berlin,71
10/25/21,CA-2021-158925,Jennifer Patt,16
9/24/21,CA-2021-159009,Dave Poirier,198
3/11/21,CA-2021-159016,Karen Ferguson,4174
11/4/21,CA-2021-159023,Natalie Webber,184
4/5/21,CA-2021-159142,Maria Etezadi,178
11/2/21,CA-2021-159212,Katherine Murray,274
6/18/21,CA-2021-159345,Ivan Gibson,112
3/14/21,CA-2021-159373,Liz Thompson,629
11/28/21,CA-2021-159639,Pamela Coakley,32
5/23/21,CA-2021-159653,Jeremy Farry,15
4/6/21,CA-2021-159695,Gary Mitchum,158
9/18/21,CA-2021-159730,Sanjit Jacobs,219
9/4/21,CA-2021-159737,Carlos Soltero,9
5/10/21,CA-2021-159765,Thea Hendricks,28
1/31/21,CA-2021-159891,Ben Ferrer,1396
8/30/21,CA-2021-159912,George Bell,420
7/8/21,CA-2021-159940,Barry Franz�sisch,340
12/10/21,CA-2021-159989,Emily Burns,41
12/9/21,CA-2021-160108,Arthur Gainer,1086
11/24/21,CA-2021-160129,Luke Schmidt,101
11/4/21,CA-2021-160136,Patrick Jones,9
10/21/21,CA-2021-160220,Joy Smith,339
6/27/21,CA-2021-160234,Phillip Flathmann,136
11/30/21,CA-2021-160241,Daniel Raglin,242
1/2/21,CA-2021-160304,Brendan Murry,406
9/16/21,CA-2021-160479,Angele Hood,35
12/31/21,CA-2021-160486,Evan Henry,72
5/6/21,CA-2021-160500,Darrin Martin,305
11/26/21,CA-2021-160535,Barry Pond,883
8/27/21,CA-2021-160598,Stuart Van,31
6/7/21,CA-2021-160717,Maria Etezadi,3528
12/12/21,CA-2021-160745,Anthony Rawles,633
9/6/21,CA-2021-160815,Toby Ritter,278
7/22/21,CA-2021-160941,Damala Kotsonis,423
12/4/21,CA-2021-161025,Gary McGarr,773
6/29/21,CA-2021-161095,Chris Selesnick,41
5/10/21,CA-2021-161158,Paul Stevenson,8
8/30/21,CA-2021-161207,Adam Bellavance,28
3/27/21,CA-2021-161361,Mark Van Huff,35
12/6/21,CA-2021-161389,Irene Maddox,408
4/2/21,CA-2021-161473,Thomas Boland,46
5/11/21,CA-2021-161543,Roger Demir,12
2/7/21,CA-2021-161662,Bobby Elias,30
11/8/21,CA-2021-161669,Eudokia Martin,90
7/19/21,CA-2021-161676,Jennifer Patt,34
10/22/21,CA-2021-161746,Carlos Soltero,615
9/30/21,CA-2021-161781,Chad Cunningham,41
4/29/21,CA-2021-161816,Nona Balk,385
4/6/21,CA-2021-161907,Justin Hirsh,888
6/28/21,CA-2021-161928,Anna Chung,202
3/15/21,CA-2021-162082,John Stevenson,392
7/19/21,CA-2021-162110,Nora Paige,56
4/24/21,CA-2021-162138,Grace Kelly,352
9/17/21,CA-2021-162159,Corey Roper,122
12/12/21,CA-2021-162187,Noel Staavos,1253
4/4/21,CA-2021-162222,Steven Roelle,10
11/5/21,CA-2021-162236,Elpida Rittenbach,1107
11/28/21,CA-2021-162313,Victoria Brennan,167
11/11/21,CA-2021-162348,Ben Ferrer,10
7/1/21,CA-2021-162355,Philip Fox,1303
9/6/21,CA-2021-162383,Maribeth Dona,103
12/7/21,CA-2021-162390,Dave Poirier,1671
7/24/21,CA-2021-162404,Neil Franz�sisch,11
10/8/21,CA-2021-162614,Tim Brockman,27
12/28/21,CA-2021-162726,Meg Tillman,34
5/12/21,CA-2021-162733,Ted Trevino,6
3/21/21,CA-2021-162747,Aaron Hawkins,86
3/29/21,CA-2021-162901,Aaron Smayling,31
7/25/21,CA-2021-162943,Darren Budd,254
2/8/21,CA-2021-163048,Mark Haberlin,242
3/22/21,CA-2021-163153,Dario Medina,101
11/29/21,CA-2021-163167,Randy Ferguson,2674
8/27/21,CA-2021-163174,Xylona Preis,187
9/28/21,CA-2021-163202,Brian Moss,3
10/8/21,CA-2021-163216,Arthur Wiediger,5
11/5/21,CA-2021-163328,Tracy Poddar,1465
11/11/21,CA-2021-163384,Chuck Clark,46
5/4/21,CA-2021-163398,Christy Brittain,56
11/25/21,CA-2021-163573,Amy Cox,1220
4/13/21,CA-2021-163594,Jason Fortune-,250
12/6/21,CA-2021-163636,Mike Pelletier,4
11/5/21,CA-2021-163755,Alejandro Savely,210
7/20/21,CA-2021-163776,Joy Smith,1111
12/3/21,CA-2021-163804,Deborah Brumfield,2782
1/10/21,CA-2021-163937,Joy Bell-,25
12/31/21,CA-2021-163951,Carl Jackson,17
10/18/21,CA-2021-163972,Michael Granlund,121
9/4/21,CA-2021-163986,Jennifer Jackson,55
6/13/21,CA-2021-164035,Craig Reiter,23
9/18/21,CA-2021-164091,Laura Armstrong,547
9/12/21,CA-2021-164154,Nick Zandusky,60
9/11/21,CA-2021-164350,Catherine Glotzbach,68
11/13/21,CA-2021-164399,Dianna Wilson,878
1/30/21,CA-2021-164483,Jeremy Farry,17
9/6/21,CA-2021-164490,Stephanie Ulpright,9
11/20/21,CA-2021-164511,Doug Jacobs,148
7/30/21,CA-2021-164574,Ritsa Hightower,732
3/5/21,CA-2021-164637,Rick Duston,128
5/9/21,CA-2021-164672,George Bell,212
4/15/21,CA-2021-164735,Tom Boeckenhauer,81
12/3/21,CA-2021-164770,Muhammed Yedwab,813
5/2/21,CA-2021-164784,Herbert Flentye,377
6/4/21,CA-2021-164889,Christine Phan,71
11/8/21,CA-2021-164896,Penelope Sewall,13
7/11/21,CA-2021-164924,Erin Ashbrook,342
2/11/21,CA-2021-164938,Phillip Breyer,70
2/25/21,CA-2021-165015,Bruce Degenhardt,47
10/23/21,CA-2021-165148,Peter McVee,31
6/6/21,CA-2021-165169,Janet Lee,386
3/6/21,CA-2021-165218,Rob Williams,162
7/24/21,CA-2021-165316,Jennifer Braxton,324
12/12/21,CA-2021-165330,William Brown,1938
11/26/21,CA-2021-165470,Heather Jas,5
10/24/21,CA-2021-165484,Heather Kirkland,71
11/25/21,CA-2021-165561,Clay Rozendal,25
5/16/21,CA-2021-165673,Michael Nguyen,15
9/27/21,CA-2021-165820,Dorothy Wardle,13
11/5/21,CA-2021-165827,Maureen Fritzler,50
6/5/21,CA-2021-165848,Edward Nazzal,1563
9/11/21,CA-2021-165918,Bryan Davis,143
8/31/21,CA-2021-165995,Bruce Geld,387
8/16/21,CA-2021-166163,Craig Yedwab,75
11/19/21,CA-2021-166226,Tracy Collins,129
6/25/21,CA-2021-166240,Dave Hallsten,9
10/25/21,CA-2021-166275,Sonia Sunley,200
4/17/21,CA-2021-166282,Pete Kriz,158
10/22/21,CA-2021-166373,Jill Fjeld,106
5/31/21,CA-2021-166380,Edward Becker,139
9/3/21,CA-2021-166429,Toby Gnade,1000
11/5/21,CA-2021-166443,Lisa Hazard,38
2/20/21,CA-2021-166485,Alan Hwang,16
11/15/21,CA-2021-166618,Darren Powers,38
4/15/21,CA-2021-166625,Jill Matthias,25
9/23/21,CA-2021-166653,Nora Pelletier,64
4/2/21,CA-2021-166674,Raymond Buch,561
9/21/21,CA-2021-166772,Heather Jas,164
1/15/21,CA-2021-166912,Bill Eplett,82
4/5/21,CA-2021-167115,Evan Henry,589
8/16/21,CA-2021-167241,Bill Donatelli,533
10/31/21,CA-2021-167290,Jason Fortune-,12
5/13/21,CA-2021-167416,Jill Matthias,55
12/23/21,CA-2021-167507,Sue Ann Reed,66
3/30/21,CA-2021-167556,Janet Martin,499
8/13/21,CA-2021-167584,Lena Cacioppo,6
4/29/21,CA-2021-167605,Rob Beeghly,30
4/4/21,CA-2021-167682,Zuschuss Donatelli,331
3/4/21,CA-2021-167759,Craig Carreira,135
8/22/21,CA-2021-167983,Rachel Payne,33
1/30/21,CA-2021-168032,David Flashing,2068
1/25/21,CA-2021-168046,Jonathan Doherty,832
4/25/21,CA-2021-168081,Cathy Armstrong,259
9/20/21,CA-2021-168354,Rick Huthwaite,2545
6/22/21,CA-2021-168361,Ken Brennan,1
12/21/21,CA-2021-168536,Stuart Calhoun,66
7/4/21,CA-2021-168543,Dean Katz,707
9/20/21,CA-2021-168557,Frank Hawley,9
5/30/21,CA-2021-168753,Rob Lucas,1003
9/5/21,CA-2021-168774,Roy Phan,535
11/8/21,CA-2021-168830,Marina Lichtenstein,480
6/1/21,CA-2021-168844,Neoma Murray,187
11/4/21,CA-2021-168893,Arthur Prichep,904
10/21/21,CA-2021-168921,Andrew Gjertsen,19
2/16/21,CA-2021-168956,Erin Ashbrook,167
8/9/21,CA-2021-169026,Corinna Mitchell,23
3/9/21,CA-2021-169103,Zuschuss Carroll,1466
5/10/21,CA-2021-169166,Sonia Sunley,94
6/21/21,CA-2021-169194,Lena Hernandez,67
7/15/21,CA-2021-169215,Richard Eichhorn,30
10/22/21,CA-2021-169334,Giulietta Weimer,112
3/11/21,CA-2021-169663,Rick Huthwaite,3384
12/26/21,CA-2021-169670,Joe Elijah,2563
12/13/21,CA-2021-169824,Noel Staavos,107
11/26/21,CA-2021-169838,Brenda Bowman,1746
10/23/21,CA-2021-169887,MaryBeth Skach,117
6/12/21,CA-2021-169922,Mary Zewe,22
5/20/21,CA-2021-169943,Bradley Nguyen,821
9/27/21,CA-2021-169957,Steve Nguyen,367
9/5/21,CA-2021-169971,Ivan Liston,66
11/7/22,CA-2022-100013,Zuschuss Carroll,30
5/29/22,CA-2022-100055,Michael Dominguez,153
11/27/22,CA-2022-100097,Michael Nguyen,1115
9/21/22,CA-2022-100111,Seth Vernon,7360
9/8/22,CA-2022-100160,Cassandra Brandow,50
1/1/22,CA-2022-100202,Brian DeCherney,302
7/6/22,CA-2022-100223,Linda Southworth,396
12/12/22,CA-2022-100230,Allen Armold,150
10/16/22,CA-2022-100237,Stuart Van,12
9/30/22,CA-2022-100314,Ann Steele,372
9/8/22,CA-2022-100335,Nicole Fjeld,73
10/22/22,CA-2022-100356,Susan Pistek,24
6/25/22,CA-2022-100384,Nicole Hansen,421
12/23/22,CA-2022-100412,Sharelle Roach,142
6/5/22,CA-2022-100426,Dan Campbell,12
8/12/22,CA-2022-100433,Sanjit Jacobs,26
4/1/22,CA-2022-100524,Chad McGuire,782
8/14/22,CA-2022-100580,Michael Kennedy,36
11/17/22,CA-2022-100601,Jay Kimmel,49
4/21/22,CA-2022-100615,Sarah Jordon,347
11/4/22,CA-2022-100622,Dave Kipp,1031
6/27/22,CA-2022-100636,Denny Ordway,273
6/30/22,CA-2022-100650,Dean Katz,1296
5/14/22,CA-2022-100748,Ross Baird,58
9/5/22,CA-2022-100783,Julie Kriz,30
11/22/22,CA-2022-100811,Cindy Chapman,48
9/10/22,CA-2022-100825,Keith Dawkins,100
11/18/22,CA-2022-100902,Clytie Kelty,699
6/10/22,CA-2022-100951,Noah Childs,721
8/30/22,CA-2022-101014,Rick Wilson,148
11/20/22,CA-2022-101042,Adrian Barton,844
6/22/22,CA-2022-101049,Alan Shonely,59
3/26/22,CA-2022-101077,Duane Benoit,7
9/5/22,CA-2022-101182,Katrina Bavinger,56
8/26/22,CA-2022-101210,Don Weiss,13
11/28/22,CA-2022-101245,Lindsay Williams,411
8/28/22,CA-2022-101273,Shui Tom,14
10/3/22,CA-2022-101308,Frank Gastineau,94
12/29/22,CA-2022-101322,Jason Gross,341
6/21/22,CA-2022-101434,Toby Ritter,250
7/30/22,CA-2022-101483,Anna Gayman,61
9/29/22,CA-2022-101574,Bruce Degenhardt,9
10/23/22,CA-2022-101581,David Wiener,177
3/25/22,CA-2022-101637,Ann Chong,13
11/26/22,CA-2022-101665,Tracy Zic,5
4/24/22,CA-2022-101700,Sean O'Donnell,30
8/20/22,CA-2022-101728,Sonia Cooley,2
10/4/22,CA-2022-101749,Aaron Smayling,171
12/12/22,CA-2022-101798,Mike Vittorini,63
12/2/22,CA-2022-101805,Sally Hughsby,628
11/25/22,CA-2022-101945,Greg Tran,11
3/1/22,CA-2022-101959,Duane Benoit,18
12/19/22,CA-2022-102099,Emily Phan,52
7/14/22,CA-2022-102155,Rick Reed,374
12/21/22,CA-2022-102197,David Kendrick,364
5/2/22,CA-2022-102204,Caroline Jumper,3741
9/3/22,CA-2022-102218,Luke Weiss,12
12/1/22,CA-2022-102267,Stuart Calhoun,2
9/24/22,CA-2022-102309,Doug O'Connell,213
6/14/22,CA-2022-102337,Shirley Daniels,683
12/3/22,CA-2022-102379,Brenda Bowman,1379
12/10/22,CA-2022-102407,Alyssa Tate,1096
5/16/22,CA-2022-102414,Joseph Airdo,50
11/28/22,CA-2022-102519,Brian Moss,191
6/12/22,CA-2022-102554,Kristina Nunn,4
11/5/22,CA-2022-102610,Christina Anderson,248
12/10/22,CA-2022-102659,Luke Weiss,55
10/27/22,CA-2022-102729,Benjamin Farhat,56
9/6/22,CA-2022-102736,Liz Preis,177
9/5/22,CA-2022-102750,Greg Maxwell,1322
4/1/22,CA-2022-102771,Denny Ordway,85
5/8/22,CA-2022-102820,Carlos Soltero,420
3/10/22,CA-2022-102834,Lindsay Williams,200
11/6/22,CA-2022-102925,Christina DeMoss,796
7/1/22,CA-2022-102946,Victor Preis,76
9/23/22,CA-2022-102967,Michael Granlund,67
9/20/22,CA-2022-102974,Dave Poirier,190
11/4/22,CA-2022-103009,Patrick Jones,26
10/21/22,CA-2022-103065,Pete Takahito,60
11/24/22,CA-2022-103156,Tamara Dahlen,24
10/14/22,CA-2022-103212,Michelle Huthwaite,1542
11/28/22,CA-2022-103352,Resi P�lking,114
11/22/22,CA-2022-103380,Barry Franz,740
12/4/22,CA-2022-103415,Mark Van Huff,14
12/18/22,CA-2022-103443,Annie Thurman,316
7/22/22,CA-2022-103478,Kelly Lampkin,97
11/21/22,CA-2022-103499,Erica Smith,210
7/24/22,CA-2022-103506,Lisa Ryan,41
9/24/22,CA-2022-103520,Maya Herman,9
9/13/22,CA-2022-103611,Jessica Myrick,8
11/25/22,CA-2022-103765,Jason Gross,14
9/8/22,CA-2022-103877,Robert Dilbeck,1578
12/2/22,CA-2022-103968,Max Ludwig,630
10/8/22,CA-2022-104003,Debra Catini,308
4/24/22,CA-2022-104010,Tamara Dahlen,55
8/30/22,CA-2022-104024,Michael Dominguez,9
12/6/22,CA-2022-104066,Quincy Jones,205
3/9/22,CA-2022-104080,Alan Hwang,175
12/3/22,CA-2022-104108,Roy Phan,12
11/2/22,CA-2022-104136,Sandra Flanagan,231
1/31/22,CA-2022-104220,Benjamin Venier,340
5/14/22,CA-2022-104318,Frank Hawley,21
12/17/22,CA-2022-104381,Ross DeVincentis,33
7/6/22,CA-2022-104388,Damala Kotsonis,80
5/13/22,CA-2022-104577,Chloris Kastensmidt,88
1/25/22,CA-2022-104619,Keith Dawkins,413
11/11/22,CA-2022-104640,Frank Hawley,1362
2/24/22,CA-2022-104647,Clytie Kelty,37
7/22/22,CA-2022-104731,Anne McFarland,952
5/30/22,CA-2022-104745,Guy Thornton,79
2/14/22,CA-2022-104801,Fred Harton,914
10/21/22,CA-2022-104822,Rick Bensley,25
6/14/22,CA-2022-104850,Tamara Willingham,291
11/19/22,CA-2022-104864,Jim Sink,553
3/3/22,CA-2022-104885,Dorothy Badders,627
2/14/22,CA-2022-104906,Jennifer Patt,18
11/19/22,CA-2022-104913,Dave Kipp,75
12/23/22,CA-2022-104927,Alex Grayson,108
7/8/22,CA-2022-105053,Christine Sundaresam,17
6/25/22,CA-2022-105074,Maria Bertelson,22
11/22/22,CA-2022-105130,Patrick Jones,52
11/5/22,CA-2022-105144,Sam Zeldin,24
3/26/22,CA-2022-105193,John Lee,11
6/17/22,CA-2022-105214,Troy Staebel,1232
12/6/22,CA-2022-105235,Suzanne McNair,335
8/21/22,CA-2022-105326,Kean Thornton,26
12/1/22,CA-2022-105333,Victor Preis,899
3/20/22,CA-2022-105410,Natalie DeCherney,977
2/21/22,CA-2022-105445,Bart Pistole,9
12/21/22,CA-2022-105480,Dean Katz,13
10/9/22,CA-2022-105487,Chris Selesnick,420
11/25/22,CA-2022-105543,Brooke Gillingham,33
12/26/22,CA-2022-105620,Jennifer Halladay,141
9/18/22,CA-2022-105669,Sanjit Jacobs,1750
2/21/22,CA-2022-105809,Helen Wasserman,238
6/23/22,CA-2022-105823,Rick Bensley,488
3/14/22,CA-2022-105851,Sanjit Engle,1332
12/19/22,CA-2022-105886,Duane Benoit,19
10/3/22,CA-2022-105914,Paul Van Hugh,1687
8/15/22,CA-2022-105921,Janet Martin,418
5/6/22,CA-2022-105991,Lisa Hazard,121
10/16/22,CA-2022-106033,Frank Gastineau,88
7/13/22,CA-2022-106047,Cari Schnelling,4
10/24/22,CA-2022-106068,Randy Bradley,338
6/11/22,CA-2022-106103,Sean Christensen,133
9/19/22,CA-2022-106180,Sally Hughsby,163
4/3/22,CA-2022-106355,Alyssa Tate,11
10/20/22,CA-2022-106432,Christina Anderson,330
8/13/22,CA-2022-106537,Rick Hansen,21
11/7/22,CA-2022-106691,Christopher Conant,1
7/4/22,CA-2022-106747,Tony Sayre,102
12/22/22,CA-2022-106782,Liz Preis,375
7/8/22,CA-2022-106824,Annie Thurman,6
6/2/22,CA-2022-106831,Fred Harton,190
6/21/22,CA-2022-106852,Shui Tom,36
3/14/22,CA-2022-106859,Benjamin Farhat,780
11/15/22,CA-2022-106943,Frank Olsen,9
12/18/22,CA-2022-106964,Hallie Redmond,12
11/28/22,CA-2022-107125,Bill Donatelli,136
6/27/22,CA-2022-107132,Scott Cohen,913
6/11/22,CA-2022-107167,Neil Ducich,1348
11/7/22,CA-2022-107174,Adam Bellavance,2595
7/28/22,CA-2022-107209,Joni Wasserman,195
9/8/22,CA-2022-107244,Allen Goldenen,20
4/7/22,CA-2022-107265,Max Ludwig,106
9/6/22,CA-2022-107293,Christopher Schild,3
12/1/22,CA-2022-107314,Maria Zettner,26
9/1/22,CA-2022-107321,Arthur Wiediger,696
12/18/22,CA-2022-107342,Vicky Freymann,28
12/22/22,CA-2022-107461,Pete Kriz,24
1/2/22,CA-2022-107503,Guy Armstrong,49
2/6/22,CA-2022-107517,Fred Chung,2012
5/6/22,CA-2022-107552,Arianne Irving,7
12/15/22,CA-2022-107629,Dave Brooks,457
3/14/22,CA-2022-107713,Joy Bell-,174
11/7/22,CA-2022-107720,Valerie Mitchum,46
10/20/22,CA-2022-107727,Matt Abelman,29
12/11/22,CA-2022-107748,Alex Grayson,109
5/9/22,CA-2022-107797,Ed Braxton,41
11/19/22,CA-2022-107825,Nona Balk,143
11/24/22,CA-2022-107832,Frank Hawley,7
5/27/22,CA-2022-107853,Carlos Daly,13
11/22/22,CA-2022-107874,Scott Williamson,27
9/2/22,CA-2022-107909,Sung Shariari,43
7/3/22,CA-2022-107958,Adrian Hane,169
12/14/22,CA-2022-107986,Mitch Webber,31
1/13/22,CA-2022-108000,Linda Southworth,10
11/30/22,CA-2022-108035,Ted Trevino,492
4/17/22,CA-2022-108070,Joel Eaton,309
11/17/22,CA-2022-108091,Eileen Kiefer,23
11/16/22,CA-2022-108112,Dana Kaydos,559
12/19/22,CA-2022-108287,Alex Grayson,13
12/11/22,CA-2022-108294,Lindsay Shagiari,35
5/1/22,CA-2022-108322,Saphhira Shifley,26
12/10/22,CA-2022-108329,Laurel Elliston,445
6/13/22,CA-2022-108441,Sarah Bern,955
3/22/22,CA-2022-108539,Steven Cartwright,745
4/24/22,CA-2022-108553,Sally Knutson,245
7/9/22,CA-2022-108560,Jenna Caffey,1058
10/8/22,CA-2022-108574,Mike Gockenbach,1325
9/13/22,CA-2022-108749,Don Jones,91
12/26/22,CA-2022-108756,Patrick O'Donnell,32
7/28/22,CA-2022-108791,Tony Molinari,559
12/9/22,CA-2022-108854,Denise Monton,244
9/25/22,CA-2022-108910,Kelly Collister,103
9/15/22,CA-2022-108931,Henia Zydlo,20
2/18/22,CA-2022-109085,Christine Kargatis,1449
10/7/22,CA-2022-109099,Muhammed MacIntyre,41
12/5/22,CA-2022-109183,Lena Radford,649
4/5/22,CA-2022-109211,Penelope Sewall,17
7/1/22,CA-2022-109393,John Castell,436
12/22/22,CA-2022-109589,Brian Derr,71
12/3/22,CA-2022-109701,Alice McCarthy,179
12/10/22,CA-2022-109715,Angele Hood,16
7/23/22,CA-2022-109750,Fred Hopkins,30
9/5/22,CA-2022-109757,Maribeth Dona,50
7/17/22,CA-2022-109778,Valerie Mitchum,3
4/17/22,CA-2022-109946,Paul Lucas,17
12/10/22,CA-2022-109960,Dean Braden,188
5/2/22,CA-2022-110198,Arthur Gainer,319
5/2/22,CA-2022-110212,Sanjit Jacobs,49
10/28/22,CA-2022-110310,Nona Balk,69
10/28/22,CA-2022-110373,Matt Abelman,34
9/3/22,CA-2022-110380,Phillip Flathmann,7
11/4/22,CA-2022-110429,Darrin Martin,12
11/22/22,CA-2022-110443,Chloris Kastensmidt,1243
3/5/22,CA-2022-110478,Sung Pak,25
12/24/22,CA-2022-110625,Julia Barnett,27
8/8/22,CA-2022-110821,Chloris Kastensmidt,238
11/12/22,CA-2022-110842,Guy Armstrong,152
3/8/22,CA-2022-110884,Shahid Hopkins,118
9/11/22,CA-2022-110905,Robert Waldorf,809
11/20/22,CA-2022-110926,Dorothy Dickinson,25
7/24/22,CA-2022-110940,Annie Zypern,122
6/16/22,CA-2022-111178,Tamara Dahlen,20
9/3/22,CA-2022-111220,Jill Stevenson,258
10/29/22,CA-2022-111262,Keith Herrera,66
6/17/22,CA-2022-111269,Christine Sundaresam,504
5/21/22,CA-2022-111332,Nat Carroll,892
2/25/22,CA-2022-111374,Christy Brittain,5
9/3/22,CA-2022-111388,Stephanie Ulpright,216
11/21/22,CA-2022-111556,Carlos Daly,1560
10/17/22,CA-2022-111577,Anthony Jacobs,308
3/22/22,CA-2022-111591,Paul Stevenson,425
7/4/22,CA-2022-111647,Rob Dowd,168
12/1/22,CA-2022-111689,Harold Pawlan,1311
10/11/22,CA-2022-111717,Scot Wooten,239
1/4/22,CA-2022-111738,Christopher Martinez,2031
7/9/22,CA-2022-111759,Mathew Reese,53
12/17/22,CA-2022-111808,Andrew Roberts,11
3/4/22,CA-2022-111815,Emily Phan,281
9/26/22,CA-2022-112004,Adam Hart,199
3/26/22,CA-2022-112039,John Castell,470
6/11/22,CA-2022-112172,Muhammed MacIntyre,14
4/9/22,CA-2022-112333,Karen Ferguson,2634
10/13/22,CA-2022-112431,Robert Waldorf,442
5/26/22,CA-2022-112473,Jeremy Lonsdale,50
12/27/22,CA-2022-112487,Tracy Collins,3
9/18/22,CA-2022-112515,Alan Schoenberger,1782
11/20/22,CA-2022-112529,Stewart Carmichael,750
5/19/22,CA-2022-112536,Susan Gilcrest,18
1/31/22,CA-2022-112725,Eugene Hildebrand,142
6/19/22,CA-2022-112753,Craig Carreira,957
9/12/22,CA-2022-112774,Ryan Crowe,35
8/19/22,CA-2022-112809,Russell Applegate,228
11/14/22,CA-2022-112844,Stefania Perrino,199
5/19/22,CA-2022-112865,Brosina Hoffman,36
4/10/22,CA-2022-112900,Ken Lonsdale,478
8/22/22,CA-2022-112956,Tracy Hopkins,394
9/17/22,CA-2022-112984,Evan Henry,21
9/3/22,CA-2022-113075,Mick Crebagga,41
3/27/22,CA-2022-113208,Michelle Lonsdale,61
1/15/22,CA-2022-113278,Hallie Redmond,359
12/2/22,CA-2022-113355,Sarah Jordon,537
10/2/22,CA-2022-113418,Corinna Mitchell,1705
10/22/22,CA-2022-113453,Charles McCrossin,401
11/8/22,CA-2022-113460,Katherine Nockton,273
3/31/22,CA-2022-113474,Tony Molinari,326
1/3/22,CA-2022-113481,Aaron Smayling,740
5/20/22,CA-2022-113530,Becky Castell,727
10/22/22,CA-2022-113558,Patricia Hirasaki,730
11/8/22,CA-2022-113572,Frank Preis,8
10/16/22,CA-2022-113670,Roland Schwarz,715
3/28/22,CA-2022-113705,Lena Cacioppo,875
11/14/22,CA-2022-113873,Katrina Edelman,268
6/4/22,CA-2022-113908,Katherine Nockton,509
12/26/22,CA-2022-114055,Mick Hernandez,819
9/3/22,CA-2022-114216,Ralph Kennedy,12
11/6/22,CA-2022-114258,Elizabeth Moffitt,493
3/15/22,CA-2022-114370,Brad Norvell,50
4/16/22,CA-2022-114412,Andrew Allen,16
